,Memory usage,FPR Prefix-BF,Multi-Prefix-BF (p=0.0),Multi-Prefix-BF (p=0.3),Multi-Prefix-BF (p=0.5),Multi-Prefix-BF (p=0.7)
0,80772,0.539823,,,,0.539823
1,161472,0.292947,,,,0.292947
2,242166,0.160385,,,,0.160385
3,322865,0.0866277,,,,0.0866277
4,403561,0.0471863,,,,0.0471863
5,484260,0.0266626,,,,0.0266626
6,564954,0.0144076,,,,0.0144076
7,645654,0.00768784,,,,0.00768784
8,726349,0.0042938,,,,0.0042938
9,807044,0.00272206,,,,0.00272206
10,887743,0.00151479,,,,0.00151479
11,968439,0.000626417,,,,0.000626417
12,1049136,0.00037585,,,,0.00037585
13,1129836,0.000284735,,,,0.000284735
14,1210531,0.000148062,,,,0.000148062
15,1291227,0.000113894,,,,0.000113894
16,1371925,7.97257e-05,,,,7.97257e-05
17,1452624,4.55576e-05,,,,4.55576e-05
18,1533319,1.13894e-05,,,,1.13894e-05
19,1614015,0.0,,,,0.0
20,1694713,0.0,,,,0.0
21,1775408,0.0,,,,0.0
22,1856108,0.0,,,,0.0
23,1936802,1.13894e-05,,,,1.13894e-05
24,2017502,0.0,,,,0.0
25,125076,,0.324974,,,
26,250076,,0.104555,,,
27,375080,,0.0332229,,,
28,500079,,0.0104555,,,
29,625079,,0.0035421,,,
30,750078,,0.000888373,,,
31,875079,,0.000501133,,,
32,1000077,,7.97257e-05,,,
33,1125075,,3.41682e-05,,,
34,1250079,,1.13894e-05,,,
35,1375078,,0.0,,,
36,1500079,,0.0,,,
37,1625078,,0.0,,,
38,1750077,,0.0,,,
39,1875078,,0.0,,,
40,2000078,,0.0,,,
41,2125080,,0.0,,,
42,2250079,,0.0,,,
43,2375076,,0.0,,,
44,2500077,,0.0,,,
45,2625078,,0.0,,,
46,2750080,,0.0,,,
47,2875075,,0.0,,,
48,3000077,,0.0,,,
49,3125076,,0.0,,,
50,106092,,,0.408082,,
51,212103,,,0.161604,,
52,318117,,,0.0651929,,
53,424128,,,0.0252047,,
54,530144,,,0.0100568,,
55,636156,,,0.00376989,,
56,742168,,,0.00167424,,
57,848181,,,0.000535301,,
58,954194,,,0.000216398,,
59,1060207,,,0.000102505,,
60,1166221,,,5.6947e-05,,
61,1272232,,,0.0,,
62,1378246,,,0.0,,
63,1484260,,,0.0,,
64,1590274,,,0.0,,
65,1696286,,,0.0,,
66,1802299,,,0.0,,
67,1908310,,,0.0,,
68,2014324,,,0.0,,
69,2120336,,,0.0,,
70,2226351,,,0.0,,
71,2332364,,,0.0,,
72,2438376,,,0.0,,
73,2544388,,,0.0,,
74,2650399,,,0.0,,
75,93431,,,,0.462409,
76,186788,,,,0.214644,
77,280144,,,,0.101183,
78,373498,,,,0.0478241,
79,466851,,,,0.0217879,
80,560207,,,,0.0103188,
81,653560,,,,0.00496577,
82,746916,,,,0.00230066,
83,840271,,,,0.000865594,
84,933628,,,,0.000546691,
85,1026981,,,,0.000159451,
86,1120337,,,,6.83364e-05,
87,1213692,,,,5.6947e-05,
88,1307044,,,,2.27788e-05,
89,1400403,,,,0.0,
90,1493756,,,,0.0,
91,1587112,,,,1.13894e-05,
92,1680466,,,,1.13894e-05,
93,1773822,,,,0.0,
94,1867178,,,,0.0,
95,1960530,,,,0.0,
96,2053887,,,,0.0,
97,2147243,,,,0.0,
98,2240597,,,,0.0,
99,2333950,,,,0.0,
