,Memory usage,FPR Prefix-BF,Multi-Prefix-BF (p=0.0),Multi-Prefix-BF (p=0.3),Multi-Prefix-BF (p=0.5),Multi-Prefix-BF (p=0.7)
0,81346,0.684212,,,,0.684212
1,162618,0.441652,,,,0.441652
2,243891,0.290924,,,,0.290924
3,325162,0.192821,,,,0.192821
4,406433,0.12854,,,,0.12854
5,487707,0.0853429,,,,0.0853429
6,568978,0.0565932,,,,0.0565932
7,650252,0.0389996,,,,0.0389996
8,731519,0.0260518,,,,0.0260518
9,812793,0.0172498,,,,0.0172498
10,894064,0.0115415,,,,0.0115415
11,975338,0.00779159,,,,0.00779159
12,1056610,0.00530203,,,,0.00530203
13,1137881,0.00394788,,,,0.00394788
14,1219155,0.0027708,,,,0.0027708
15,1300425,0.00184373,,,,0.00184373
16,1381697,0.00112499,,,,0.00112499
17,1462968,0.000864574,,,,0.000864574
18,1544241,0.000593744,,,,0.000593744
19,1625514,0.000427079,,,,0.000427079
20,1706784,0.000239581,,,,0.000239581
21,1788057,0.000239581,,,,0.000239581
22,1869328,0.000114582,,,,0.000114582
23,1950601,8.33325e-05,,,,8.33325e-05
24,2031872,8.33325e-05,,,,8.33325e-05
25,125076,,0.472391,,,
26,250074,,0.2218,,,
27,375073,,0.105863,,,
28,500073,,0.0496036,,,
29,625074,,0.0242185,,,
30,750078,,0.0111561,,,
31,875075,,0.00551036,,,
32,1000074,,0.00247914,,,
33,1125077,,0.00121874,,,
34,1250076,,0.000520828,,,
35,1375077,,0.000239581,,,
36,1500077,,0.000135415,,,
37,1625078,,7.29159e-05,,,
38,1750076,,1.04166e-05,,,
39,1875075,,2.08331e-05,,,
40,2000075,,1.04166e-05,,,
41,2125077,,0.0,,,
42,2250078,,0.0,,,
43,2375075,,0.0,,,
44,2500073,,0.0,,,
45,2625077,,0.0,,,
46,2750075,,0.0,,,
47,2875074,,0.0,,,
48,3000076,,0.0,,,
49,3125075,,0.0,,,
50,106335,,,0.548723,,
51,212595,,,0.298226,,
52,318853,,,0.161759,,
53,425113,,,0.0893116,,
54,531371,,,0.0485412,,
55,637630,,,0.0269997,,
56,743889,,,0.0140624,,
57,850153,,,0.00777075,,
58,956408,,,0.00469787,,
59,1062669,,,0.00230206,,
60,1168929,,,0.00123957,,
61,1275189,,,0.000687493,,
62,1381445,,,0.000312497,,
63,1487708,,,0.000187498,,
64,1593966,,,9.3749e-05,,
65,1700228,,,6.24993e-05,,
66,1806486,,,1.04166e-05,,
67,1912744,,,1.04166e-05,,
68,2019002,,,3.12497e-05,,
69,2125261,,,0.0,,
70,2231519,,,0.0,,
71,2337779,,,0.0,,
72,2444040,,,0.0,,
73,2550298,,,0.0,,
74,2656560,,,0.0,,
75,93840,,,,0.609577,
76,187606,,,,0.367715,
77,281373,,,,0.217654,
78,375136,,,,0.129655,
79,468901,,,,0.0786867,
80,562668,,,,0.0466662,
81,656433,,,,0.027708,
82,750198,,,,0.0170623,
83,843967,,,,0.0103332,
84,937730,,,,0.0064166,
85,1031496,,,,0.00377079,
86,1125264,,,,0.00231248,
87,1219028,,,,0.00145832,
88,1312793,,,,0.000854158,
89,1406558,,,,0.000479162,
90,1500323,,,,0.000354163,
91,1594091,,,,0.000229164,
92,1687857,,,,0.000104166,
93,1781623,,,,9.3749e-05,
94,1875385,,,,3.12497e-05,
95,1969150,,,,0.0,
96,2062917,,,,4.16662e-05,
97,2156685,,,,1.04166e-05,
98,2250452,,,,0.0,
99,2344215,,,,0.0,
