,Memory usage,FPR Prefix-BF,Multi-Prefix-BF (p=0.0),Multi-Prefix-BF (p=0.3),Multi-Prefix-BF (p=0.5),Multi-Prefix-BF (p=0.7)
0,81346,0.623824,,,,0.623824
1,162618,0.377269,,,,0.377269
2,243891,0.227896,,,,0.227896
3,325162,0.142714,,,,0.142714
4,406433,0.0895539,,,,0.0895539
5,487707,0.0560557,,,,0.0560557
6,568978,0.0345686,,,,0.0345686
7,650252,0.0223547,,,,0.0223547
8,731519,0.0142534,,,,0.0142534
9,812793,0.00886751,,,,0.00886751
10,894064,0.0055098,,,,0.0055098
11,975338,0.00349292,,,,0.00349292
12,1056610,0.00226476,,,,0.00226476
13,1137881,0.00149857,,,,0.00149857
14,1219155,0.00113802,,,,0.00113802
15,1300425,0.000676049,,,,0.000676049
16,1381697,0.000495769,,,,0.000495769
17,1462968,0.000338024,,,,0.000338024
18,1544241,0.000214082,,,,0.000214082
19,1625514,0.000112675,,,,0.000112675
20,1706784,6.76049e-05,,,,6.76049e-05
21,1788057,4.50699e-05,,,,4.50699e-05
22,1869328,6.76049e-05,,,,6.76049e-05
23,1950601,0.0,,,,0.0
24,2031872,2.2535e-05,,,,2.2535e-05
25,125076,,0.473245,,,
26,250074,,0.226578,,,
27,375073,,0.105103,,,
28,500073,,0.0489459,,,
29,625074,,0.0241462,,,
30,750078,,0.0108844,,,
31,875075,,0.0050929,,,
32,1000074,,0.00249011,,,
33,1125077,,0.00107041,,,
34,1250076,,0.000574641,,,
35,1375077,,0.000259152,,,
36,1500077,,0.000146477,,,
37,1625078,,3.38024e-05,,,
38,1750076,,2.2535e-05,,,
39,1875075,,1.12675e-05,,,
40,2000075,,1.12675e-05,,,
41,2125077,,0.0,,,
42,2250078,,1.12675e-05,,,
43,2375075,,0.0,,,
44,2500073,,0.0,,,
45,2625077,,0.0,,,
46,2750075,,0.0,,,
47,2875074,,0.0,,,
48,3000076,,0.0,,,
49,3125075,,0.0,,,
50,106335,,,0.526969,,
51,212595,,,0.279648,,
52,318853,,,0.145846,,
53,425113,,,0.0766865,,
54,531371,,,0.0415995,,
55,637630,,,0.02258,,
56,743889,,,0.0113013,,
57,850153,,,0.0059943,,
58,956408,,,0.00343658,,
59,1062669,,,0.00169012,,
60,1168929,,,0.000788724,,
61,1275189,,,0.000416897,,
62,1381445,,,0.000270419,,
63,1487708,,,0.00013521,,
64,1593966,,,9.01398e-05,,
65,1700228,,,6.76049e-05,,
66,1806486,,,3.38024e-05,,
67,1912744,,,0.0,,
68,2019002,,,0.0,,
69,2125261,,,1.12675e-05,,
70,2231519,,,0.0,,
71,2337779,,,0.0,,
72,2444040,,,0.0,,
73,2550298,,,0.0,,
74,2656560,,,0.0,,
75,93840,,,,0.571115,
76,187606,,,,0.32812,
77,281373,,,,0.184381,
78,375136,,,,0.105576,
79,468901,,,,0.0606528,
80,562668,,,,0.0355827,
81,656433,,,,0.0193688,
82,750198,,,,0.0118196,
83,843967,,,,0.00636613,
84,937730,,,,0.00375207,
85,1031496,,,,0.0022535,
86,1125264,,,,0.00143097,
87,1219028,,,,0.000732386,
88,1312793,,,,0.000383094,
89,1406558,,,,0.000236617,
90,1500323,,,,0.000169012,
91,1594091,,,,6.76049e-05,
92,1687857,,,,3.38024e-05,
93,1781623,,,,1.12675e-05,
94,1875385,,,,3.38024e-05,
95,1969150,,,,2.2535e-05,
96,2062917,,,,0.0,
97,2156685,,,,1.12675e-05,
98,2250452,,,,0.0,
99,2344215,,,,0.0,
