,Memory usage,FPR Prefix-BF,Multi-Prefix-BF (p=0.0),Multi-Prefix-BF (p=0.3),Multi-Prefix-BF (p=0.5),Multi-Prefix-BF (p=0.7)
0,80772,0.475845,,,,0.475845
1,161472,0.229367,,,,0.229367
2,242166,0.112369,,,,0.112369
3,322865,0.0542771,,,,0.0542771
4,403561,0.0272836,,,,0.0272836
5,484260,0.0131398,,,,0.0131398
6,564954,0.00694917,,,,0.00694917
7,645654,0.0038371,,,,0.0038371
8,726349,0.00180701,,,,0.00180701
9,807044,0.000903504,,,,0.000903504
10,887743,0.000524255,,,,0.000524255
11,968439,0.000267705,,,,0.000267705
12,1049136,7.80806e-05,,,,7.80806e-05
13,1129836,6.69262e-05,,,,6.69262e-05
14,1210531,4.46175e-05,,,,4.46175e-05
15,1291227,1.11544e-05,,,,1.11544e-05
16,1371925,0.0,,,,0.0
17,1452624,0.0,,,,0.0
18,1533319,1.11544e-05,,,,1.11544e-05
19,1614015,0.0,,,,0.0
20,1694713,1.11544e-05,,,,1.11544e-05
21,1775408,0.0,,,,0.0
22,1856108,0.0,,,,0.0
23,1936802,0.0,,,,0.0
24,2017502,0.0,,,,0.0
25,125076,,0.323544,,,
26,250076,,0.102866,,,
27,375080,,0.0316561,,,
28,500079,,0.0110986,,,
29,625079,,0.00319015,,,
30,750078,,0.00105966,,,
31,875079,,0.000345785,,,
32,1000077,,5.57718e-05,,,
33,1125075,,4.46175e-05,,,
34,1250079,,1.11544e-05,,,
35,1375078,,0.0,,,
36,1500079,,0.0,,,
37,1625078,,0.0,,,
38,1750077,,0.0,,,
39,1875078,,0.0,,,
40,2000078,,0.0,,,
41,2125080,,0.0,,,
42,2250079,,0.0,,,
43,2375076,,0.0,,,
44,2500077,,0.0,,,
45,2625078,,0.0,,,
46,2750080,,0.0,,,
47,2875075,,0.0,,,
48,3000077,,0.0,,,
49,3125076,,0.0,,,
50,106092,,,0.388462,,
51,212103,,,0.143557,,
52,318117,,,0.0538087,,
53,424128,,,0.0212379,,
54,530144,,,0.00784152,,
55,636156,,,0.00315669,,
56,742168,,,0.00113775,,
57,848181,,,0.000423866,,
58,954194,,,0.000200779,,
59,1060207,,,0.000111544,,
60,1166221,,,1.11544e-05,,
61,1272232,,,0.0,,
62,1378246,,,1.11544e-05,,
63,1484260,,,0.0,,
64,1590274,,,0.0,,
65,1696286,,,0.0,,
66,1802299,,,0.0,,
67,1908310,,,0.0,,
68,2014324,,,0.0,,
69,2120336,,,0.0,,
70,2226351,,,0.0,,
71,2332364,,,0.0,,
72,2438376,,,0.0,,
73,2544388,,,0.0,,
74,2650399,,,0.0,,
75,93431,,,,0.428729,
76,186788,,,,0.180288,
77,280144,,,,0.076664,
78,373498,,,,0.0336081,
79,466851,,,,0.0146345,
80,560207,,,,0.00634683,
81,653560,,,,0.00272167,
82,746916,,,,0.00131622,
83,840271,,,,0.000546564,
84,933628,,,,0.000301168,
85,1026981,,,,0.000122698,
86,1120337,,,,6.69262e-05,
87,1213692,,,,2.23087e-05,
88,1307044,,,,0.0,
89,1400403,,,,0.0,
90,1493756,,,,0.0,
91,1587112,,,,0.0,
92,1680466,,,,0.0,
93,1773822,,,,2.23087e-05,
94,1867178,,,,0.0,
95,1960530,,,,0.0,
96,2053887,,,,0.0,
97,2147243,,,,0.0,
98,2240597,,,,0.0,
99,2333950,,,,0.0,
