,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.32533,0.0113003,,,
1,250002,0.102973,0.000170005,,,
2,375002,0.033601,1.00003e-05,,,
3,500002,0.0106603,0.0,,,
4,625002,0.0032401,0.0,,,
5,750002,0.00110003,0.0,,,
6,875002,0.000470014,0.0,,,
7,1000002,0.000160005,0.0,,,
8,1125002,6.00018e-05,0.0,,,
9,1250002,1.00003e-05,0.0,,,
10,1375002,0.0,0.0,,,
11,1500002,1.00003e-05,0.0,,,
12,1625002,0.0,0.0,,,
13,1750002,0.0,0.0,,,
14,1875002,0.0,0.0,,,
15,2000002,0.0,0.0,,,
16,2125002,0.0,0.0,,,
17,2250002,0.0,0.0,,,
18,2375002,0.0,0.0,,,
19,2500002,0.0,0.0,,,
20,2625002,0.0,0.0,,,
21,2750002,0.0,0.0,,,
22,2875002,0.0,0.0,,,
23,3000002,0.0,0.0,,,
24,3125002,0.0,0.0,,,
25,524288,,,0.181135,0.00119004,
26,655360,,,0.0941228,0.000150005,
27,786432,,,0.0482014,2.00006e-05,
28,917504,,,0.0248107,1.00003e-05,
29,1048576,,,0.0128104,1.00003e-05,
30,1179648,,,0.00647019,0.0,
31,1310720,,,0.0033001,0.0,
32,1441792,,,0.00164005,0.0,
33,1572864,,,0.000810024,0.0,
34,1703936,,,0.000490015,0.0,
35,1835008,,,0.000220007,0.0,
36,1966080,,,9.00027e-05,0.0,
37,453377,,,,,0.00246007
38,465889,,,,,0.00246007
39,478385,,,,,0.00246007
40,490881,,,,,0.00246007
41,503385,,,,,0.00130004
42,515889,,,,,0.000810024
43,528385,,,,,0.00032001
44,540881,,,,,0.000230007
45,553385,,,,,0.000170005
