,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.326964,0.326964,,,
1,250002,0.103232,0.103232,,,
2,375002,0.0336446,0.0336446,,,
3,500002,0.0112669,0.0112669,,,
4,625002,0.00333545,0.00333545,,,
5,750002,0.00093705,0.00093705,,,
6,875002,0.000435059,0.000435059,,,
7,1000002,0.000156175,0.000156175,,,
8,1125002,2.23107e-05,2.23107e-05,,,
9,1250002,0.0,0.0,,,
10,1375002,0.0,0.0,,,
11,1500002,0.0,0.0,,,
12,1625002,0.0,0.0,,,
13,1750002,0.0,0.0,,,
14,1875002,0.0,0.0,,,
15,2000002,0.0,0.0,,,
16,2125002,0.0,0.0,,,
17,2250002,0.0,0.0,,,
18,2375002,0.0,0.0,,,
19,2500002,0.0,0.0,,,
20,2625002,0.0,0.0,,,
21,2750002,0.0,0.0,,,
22,2875002,0.0,0.0,,,
23,3000002,0.0,0.0,,,
24,3125002,0.0,0.0,,,
25,524288,,,0.182279,0.182279,
26,655360,,,0.0951887,0.0951887,
27,786432,,,0.0493067,0.0493067,
28,917504,,,0.0247203,0.0247203,
29,1048576,,,0.012494,0.012494,
30,1179648,,,0.00621354,0.00621354,
31,1310720,,,0.00304541,0.00304541,
32,1441792,,,0.00142789,0.00142789,
33,1572864,,,0.00076972,0.00076972,
34,1703936,,,0.000345816,0.000345816,
35,1835008,,,0.000100398,0.000100398,
36,1966080,,,6.69322e-05,6.69322e-05,
37,453377,,,,,0.100945
38,465889,,,,,0.100945
39,478385,,,,,0.0982564
40,490881,,,,,0.0982564
41,503385,,,,,0.0921098
42,515889,,,,,0.0886963
43,528385,,,,,0.0871568
44,540881,,,,,0.0862421
45,553385,,,,,0.0857178
