,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.481737,0.106838,,,
1,250002,0.233399,0.0250626,,,
2,375002,0.112117,0.00976319,,,
3,500002,0.0529089,0.00447437,,,
4,625002,0.025774,0.00202068,,,
5,750002,0.0121035,0.000958793,,,
6,875002,0.00659814,0.000433003,,,
7,1000002,0.00281452,0.000185573,,,
8,1125002,0.00149489,0.000144334,,,
9,1250002,0.000639195,2.06192e-05,,,
10,1375002,0.000391765,2.06192e-05,,,
11,1500002,0.000226811,2.06192e-05,,,
12,1625002,9.27864e-05,1.03096e-05,,,
13,1750002,6.18576e-05,1.03096e-05,,,
14,1875002,2.06192e-05,0.0,,,
15,2000002,0.0,0.0,,,
16,2125002,2.06192e-05,0.0,,,
17,2250002,0.0,0.0,,,
18,2375002,0.0,0.0,,,
19,2500002,0.0,0.0,,,
20,2625002,0.0,0.0,,,
21,2750002,0.0,0.0,,,
22,2875002,0.0,0.0,,,
23,3000002,0.0,0.0,,,
24,3125002,0.0,0.0,,,
25,524288,,,0.267214,0.031001,
26,655360,,,0.143242,0.0128767,
27,786432,,,0.0745281,0.0060208,
28,917504,,,0.0376403,0.00272173,
29,1048576,,,0.0187944,0.00138149,
30,1179648,,,0.00950545,0.000670124,
31,1310720,,,0.00453622,0.000288669,
32,1441792,,,0.00211347,0.000134025,
33,1572864,,,0.00106189,6.18576e-05,
34,1703936,,,0.000597957,3.09288e-05,
35,1835008,,,0.00026805,1.03096e-05,
36,1966080,,,0.000134025,1.03096e-05,
37,211393,,,,,0.363094
38,223897,,,,,0.363094
39,274040,,,,,0.352619
40,286536,,,,,0.352619
41,299040,,,,,0.262658
42,311544,,,,,0.217677
43,324040,,,,,0.193284
44,336544,,,,,0.17983
45,349040,,,,,0.172748
