,Memory usage,Prefix-BF,Multi-Prefix-BF
0,81346,0.0841717,
1,162618,0.00745015,
2,243891,0.000650013,
3,325162,0.000110002,
4,406433,1.00002e-05,
5,487707,0.0,
6,568978,1.00002e-05,
7,650252,0.0,
8,731519,0.0,
9,812793,0.0,
10,894064,0.0,
11,975338,0.0,
12,1056610,0.0,
13,1137881,0.0,
14,1219155,0.0,
15,1300425,0.0,
16,1381697,0.0,
17,1462968,0.0,
18,1544241,0.0,
19,1625514,0.0,
20,1706784,0.0,
21,1788057,0.0,
22,1869328,0.0,
23,1950601,0.0,
24,2031872,0.0,
25,125076,,0.051101
26,250074,,0.00259005
27,375073,,0.000120002
28,500073,,3.00006e-05
29,625074,,1.00002e-05
30,750078,,0.0
31,875075,,0.0
32,1000074,,0.0
33,1125077,,0.0
34,1250076,,0.0
35,1375077,,0.0
36,1500077,,0.0
37,1625078,,0.0
38,1750076,,0.0
39,1875075,,0.0
40,2000075,,0.0
41,2125077,,0.0
42,2250078,,0.0
43,2375075,,0.0
44,2500073,,0.0
45,2625077,,0.0
46,2750075,,0.0
47,2875074,,0.0
48,3000076,,0.0
49,3125075,,0.0
