,Memory usage,Prefix-BF,Multi-Prefix-BF
0,81346,0.225532,
1,162618,0.0533437,
2,243891,0.0168927,
3,325162,0.00648243,
4,406433,0.00333209,
5,487707,0.00205984,
6,568978,0.0010905,
7,650252,0.00076739,
8,731519,0.000514959,
9,812793,0.000151459,
10,894064,9.08751e-05,
11,975338,0.000121167,
12,1056610,5.04862e-05,
13,1137881,3.02917e-05,
14,1219155,4.03889e-05,
15,1300425,1.00972e-05,
16,1381697,2.01945e-05,
17,1462968,1.00972e-05,
18,1544241,0.0,
19,1625514,0.0,
20,1706784,0.0,
21,1788057,0.0,
22,1869328,0.0,
23,1950601,0.0,
24,2031872,0.0,
25,125076,,0.0794552
26,250074,,0.013399
27,375073,,0.00443269
28,500073,,0.00168624
29,625074,,0.000838071
30,750078,,0.000434181
31,875075,,0.000171653
32,1000074,,4.03889e-05
33,1125077,,6.05834e-05
34,1250076,,0.0
35,1375077,,3.02917e-05
36,1500077,,1.00972e-05
37,1625078,,0.0
38,1750076,,0.0
39,1875075,,0.0
40,2000075,,0.0
41,2125077,,0.0
42,2250078,,0.0
43,2375075,,0.0
44,2500073,,0.0
45,2625077,,0.0
46,2750075,,0.0
47,2875074,,0.0
48,3000076,,0.0
49,3125075,,0.0
