,Memory usage,Prefix-BF,Multi-Prefix-BF
0,81346,0.623824,
1,162618,0.377269,
2,243891,0.227896,
3,325162,0.142714,
4,406433,0.0895539,
5,487707,0.0560557,
6,568978,0.0345686,
7,650252,0.0223547,
8,731519,0.0142534,
9,812793,0.00886751,
10,894064,0.0055098,
11,975338,0.00349292,
12,1056610,0.00226476,
13,1137881,0.00149857,
14,1219155,0.00113802,
15,1300425,0.000676049,
16,1381697,0.000495769,
17,1462968,0.000338024,
18,1544241,0.000214082,
19,1625514,0.000112675,
20,1706784,6.76049e-05,
21,1788057,4.50699e-05,
22,1869328,6.76049e-05,
23,1950601,0.0,
24,2031872,2.2535e-05,
25,125076,,0.473245
26,250074,,0.226578
27,375073,,0.105103
28,500073,,0.0489459
29,625074,,0.0241462
30,750078,,0.0108844
31,875075,,0.0050929
32,1000074,,0.00249011
33,1125077,,0.00107041
34,1250076,,0.000574641
35,1375077,,0.000259152
36,1500077,,0.000146477
37,1625078,,3.38024e-05
38,1750076,,2.2535e-05
39,1875075,,1.12675e-05
40,2000075,,1.12675e-05
41,2125077,,0.0
42,2250078,,1.12675e-05
43,2375075,,0.0
44,2500073,,0.0
45,2625077,,0.0
46,2750075,,0.0
47,2875074,,0.0
48,3000076,,0.0
49,3125075,,0.0
