*LrY?86!t6BcZg*;*LrY?86!t6BcZgt
(oxCpu[%wbl,I;(oxCpu[%wbl-B
D8#My4Xz;D8#My4YQ
*LTZLby=URq1=;*LTZLby=URq2C
D8=Y]Y!ZGtN;D8=Y]Y!ZGu0
r2Cdg$A(;r2Cdg$A7
rsEL+ds5*Yo;rsEL+ds5*Z,
rql_#1)d;rql_#1*Y
rsELOck+_;rsELOck,G
(#7sOpkshO,;(#7sOpkshO.
rqz,>t\A/($\;rqz,>t\A/($c
@qA4'#WOU?zRq;@qA4'#WOU?zS\
r2i;r3p
rU%tl";rU%tlq
rqlc0&1Rs;rqlc0&1Sz
rqlc0m';rqlc0m-
*L5,'sx8Wr@89;*L5,'sx8Wr@8U
D>YIP]*p;D>YIP]+-
D8i30Y0rJ5tSz;D8i30Y0rJ5tTI
D>m8fdT;D>m8feF
*zRT':M;*zRT'<?
r"),bVG[me8M;r"),bVG[me9)
*p-=4nu)3@En^k;*p-=4nu)3@En^r
*zx`z@=PaosLk;*zx`z@=PaosMj
r2Cd1;r2Ce3
[sloZaIQ0'l[;[sloZaIQ0'mD
*L5.nO'+LycR;*L5.nO'+LydR
rsE,01-]UF9jHa4S';rsE,01-]UF9jHa4S5
*zaQJCLX:^)!@;*zaQJCLX:^)!b
rq,=9&T)-z)&;rq,=9&T)-z)i
D>Ysu';D>YsuJ
DqJE=8;DqJE=J
*LrXMqIk>Rl*1;*LrXMqIk>Rl*v
D8AVrG6'=M-5@v>;D8AVrG6'=M-5@vB
[fUnaSIa!z;[fUnaSIa"b
r2CeO`v;r2CeOau
*zxlkd<OZg;*zxlkd<O[`
D8i&#!woR+BlG;D8i&#!woR+BmE
rs0T(]YY%Ks:D;rs0T(]YY%Ks<?
D>YsH;D>Yt@
*zREy+_nSO+6GdcJ;*zREy+_nSO+6GddN
D8AVr+N(Nmq';D8AVr+N(Nmq.
rq,<&J@S^UWV;rq,<&J@S^UXS
DqJE=pt/NxDf/;DqJE=pt/NxDff
*LrXer-!lK0Vd;*LrXer-!lK0Vi
rql_sm66E4pnm#;rql_sm66E4pnm.
*3$u;*3%^
*LTypORMPSf&O:G;*LTypORMPSf&O:V
D8#Ml_va5^Bs;D8#Ml_va5^Bx
*.`s2zqiVZ6oa$N;*.`s2zqiVZ6oa%.
*pp-U:M[`O+k;*pp-U:M[`O+r
D8i&#-Z06lk;D8i&#-Z06lr
r2"sDc98*CPA-;r2"sDc98*CPAs
*.yV@4&b;*.yV@4'D
*.yf;*.zN
*L5.[YA%%+B3v[;*L5.[YA%%+B3w4
*L5c6T"R5?Go;*L5c6T"R5?H'
*L5coVt7L8rq;*L5coVt7L8sq
D>m8THn&2:V;D>m8THn&2<L
DI]pp\;DI]ppr
rqlc\DY;rqlc\Dk
r"Sq.DDA\[;r"Sq.DDA\a
*za>d;*za>r
*z?>1QDG2jw);*z?>1QDG2jwT
*L5c6NSi;*L5c6NTZ
*z?DB3+Ri6x3N;*z?DB3+Ri6x3m
*L5,Tu3;*L5,Tuk
*psJjD+#?J2?;*psJjD+#?J2u
*.p/h!mH[;*.p/h!mIc
@LH@oF=B=!LWDe;@LH@oF=B=!LWE9
rqz5E;rqz5Q
*.y_MXSkL5tm;*.y_MXSkL5ua
*psNp&/(fI4DM;*psNp&/(fI4DW
*L5.[r;*L5.\i
D8A&-+?"&%s2E`a;D8A&-+?"&%s2Ea%
*z?D/="#Ozh2C*[;*z?D/="#Ozh2C+=
rsE&;rsEw
r2M%TDlC0%EyJ];r2M%TDlC0%EyK&
*L5/#z72rv]]\_%;*L5/#z72rv]]\_U
(zEu7K;(zEu8)
*.yFq7;*.yFqe
rqlh;rqm6
*Lrcx[k-5'r:%;*Lrcx[k-5'r:0
rqz5u]b1e=N0fJj;rqz5u]b1e=N0fKN
DqwJ@Ke`p@CF;DqwJ@Ke`p@Cd
*za(jStFCH;*za(jStFCi
*.yV@(^;*.yV@(n
r2F$D48k`Cm>70I;r2F$D48k`Cm>71A
*LrXWRM^EnO;*LrXWRM^Eo"
aDOvT.q]<A"4btQ;aDOvT.q]<A"4buB
*33@!bKR7&;*33@!bKR7D
D8i%v&z12`Uw@2;D8i%v&z12`Uw@K
*L5,T`jfT'X7.C;*L5,T`jfT'X7.\
aj4BxM4P(;aj4BxM4Pd
*LLZ(tQy![;*LLZ(tQy!d
D8A]qQRjcU6;D8A]qQRjcUZ
*za>nW@p.;*za>nW@p6
DqiG"b0$Cto]K62;DqiG"b0$Cto]K74
[fHF,#E1b#;[fHF,#E1b'
DSUsfF;DSUsfU
rql/cid(cJ>;rql/cid(cK7
*.`>f90Q_WJ,9;*.`>f90Q_WJ-B
*.yVM`gzdG;*.yVM`gzeC
DqJEOgdi[>t<;DqJEOgdi[>tT
[YUXQ5<(;[YUXQ5<i
r"8`VuJYX1B/;r"8`VuJYX1C4
(zEK6`1UfQFAq;(zEK6`1UfQFBF
*za>9]@3tWqdJ`ew;*za>9]@3tWqdJ`g#
D>Y>y]fm8;D>Y>y]fme
*.yNvp;*.yNwB
*.p8VU.;*.p8VU^
