,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.481737,0.106838,,,
1,250002,0.233399,0.0250626,,,
2,375002,0.112117,0.00976319,,,
3,500002,0.0529089,0.00447437,,,
4,625002,0.025774,0.00202068,,,
5,750002,0.0121035,0.000958793,,,
6,875002,0.00659814,0.000433003,,,
7,1000002,0.00281452,0.000185573,,,
8,1125002,0.00149489,0.000144334,,,
9,1250002,0.000639195,2.06192e-05,,,
10,1375002,0.000391765,2.06192e-05,,,
11,1500002,0.000226811,2.06192e-05,,,
12,1625002,9.27864e-05,1.03096e-05,,,
13,1750002,6.18576e-05,1.03096e-05,,,
14,1875002,2.06192e-05,0.0,,,
15,2000002,0.0,0.0,,,
16,2125002,2.06192e-05,0.0,,,
17,2250002,0.0,0.0,,,
18,2375002,0.0,0.0,,,
19,2500002,0.0,0.0,,,
20,2625002,0.0,0.0,,,
21,2750002,0.0,0.0,,,
22,2875002,0.0,0.0,,,
23,3000002,0.0,0.0,,,
24,3125002,0.0,0.0,,,
25,1310720,,,0.0745281,0.0060208,
26,1572864,,,0.0376403,0.00272173,
27,1835008,,,0.0187944,0.00138149,
28,2097152,,,0.00950545,0.000670124,
29,2359296,,,0.00453622,0.000288669,
30,2621440,,,0.00211347,0.000134025,
31,2883584,,,0.00106189,6.18576e-05,
32,3145728,,,0.000597957,3.09288e-05,
33,3407872,,,0.00026805,1.03096e-05,
34,3670016,,,0.000134025,1.03096e-05,
35,3932160,,,8.24768e-05,0.0,
36,211393,,,,,0.363094
37,223897,,,,,0.363094
38,274040,,,,,0.352619
39,286536,,,,,0.352619
40,299040,,,,,0.262658
41,311544,,,,,0.217677
42,324040,,,,,0.193284
43,336544,,,,,0.17983
44,349040,,,,,0.172748
