,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting,FPR SuRFReal
0,125002,0.48022,0.48022,,,
1,250002,0.230625,0.230625,,,
2,375002,0.11003,0.11003,,,
3,500002,0.0518971,0.0518971,,,
4,625002,0.025834,0.025834,,,
5,750002,0.0125672,0.0125672,,,
6,875002,0.00628362,0.00628362,,,
7,1000002,0.00274984,0.00274984,,,
8,1125002,0.00137492,0.00137492,,,
9,1250002,0.000603034,0.000603034,,,
10,1375002,0.000361821,0.000361821,,,
11,1500002,0.000132668,0.000132668,,,
12,1625002,1.20607e-05,1.20607e-05,,,
13,1750002,2.41214e-05,2.41214e-05,,,
14,1875002,0.0,0.0,,,
15,2000002,2.41214e-05,2.41214e-05,,,
16,2125002,1.20607e-05,1.20607e-05,,,
17,2250002,0.0,0.0,,,
18,2375002,0.0,0.0,,,
19,2500002,0.0,0.0,,,
20,2625002,0.0,0.0,,,
21,2750002,0.0,0.0,,,
22,2875002,0.0,0.0,,,
23,3000002,0.0,0.0,,,
24,3125002,0.0,0.0,,,
25,1310720,,,0.0733772,0.0733772,
26,1572864,,,0.0371107,0.0371107,
27,1835008,,,0.0188267,0.0188267,
28,2097152,,,0.00911788,0.00911788,
29,2359296,,,0.00442627,0.00442627,
30,2621440,,,0.00231565,0.00231565,
31,2883584,,,0.00115783,0.00115783,
32,3145728,,,0.000639217,0.000639217,
33,3407872,,,0.000337699,0.000337699,
34,3670016,,,0.000253274,0.000253274,
35,3932160,,,0.000120607,0.000120607,
36,211393,,,,,0.729841
37,223897,,,,,0.729841
38,274040,,,,,0.703705
39,286536,,,,,0.703705
40,299040,,,,,0.647104
41,311544,,,,,0.619015
42,324040,,,,,0.604023
43,336544,,,,,0.596136
44,349040,,,,,0.592252
