,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting
0,625002,0.0256328,4.00044e-05,,
1,750002,0.0130014,3.00033e-05,,
2,875002,0.00600066,3.00033e-05,,
3,1000002,0.00279031,2.00022e-05,,
4,1125002,0.00149016,0.0,,
5,1250002,0.000720079,0.0,,
6,1375002,0.000200022,0.0,,
7,1500002,0.000160018,0.0,,
8,1625002,9.00099e-05,0.0,,
9,1750002,0.0,0.0,,
10,1875002,4.00044e-05,0.0,,
11,2000002,2.00022e-05,0.0,,
12,2125002,1.00011e-05,0.0,,
13,2250002,0.0,0.0,,
14,2375002,0.0,0.0,,
15,2500002,0.0,0.0,,
16,2625002,0.0,0.0,,
17,2750002,0.0,0.0,,
18,2875002,0.0,0.0,,
19,3000002,0.0,0.0,,
20,3125002,0.0,0.0,,
21,1310720,,,0.0733481,0.000130014
22,1572864,,,0.0378142,4.00044e-05
23,1835008,,,0.0188321,1.00011e-05
24,2097152,,,0.00927102,0.0
25,2359296,,,0.00476052,0.0
26,2621440,,,0.00244027,0.0
27,2883584,,,0.00124014,0.0
28,3145728,,,0.00064007,0.0
29,3407872,,,0.00027003,0.0
30,3670016,,,0.000110012,0.0
31,3932160,,,3.00033e-05,0.0
