,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting
0,625002,0.0234952,0.0234952,,
1,750002,0.0108069,0.0108069,,
2,875002,0.00508625,0.00508625,,
3,1000002,0.00262516,0.00262516,,
4,1125002,0.00133446,0.00133446,,
5,1250002,0.000546908,0.000546908,,
6,1375002,0.000164072,0.000164072,,
7,1500002,0.000153134,0.000153134,,
8,1625002,0.000109382,0.000109382,,
9,1750002,5.46908e-05,5.46908e-05,,
10,1875002,0.0,0.0,,
11,2000002,1.09382e-05,1.09382e-05,,
12,2125002,2.18763e-05,2.18763e-05,,
13,2250002,0.0,0.0,,
14,2375002,0.0,0.0,,
15,2500002,0.0,0.0,,
16,2625002,0.0,0.0,,
17,2750002,0.0,0.0,,
18,2875002,0.0,0.0,,
19,3000002,0.0,0.0,,
20,3125002,0.0,0.0,,
21,1310720,,,0.0744452,0.0744452
22,1572864,,,0.0380976,0.0380976
23,1835008,,,0.019098,0.019098
24,2097152,,,0.00947245,0.00947245
25,2359296,,,0.00462684,0.00462684
26,2621440,,,0.00239546,0.00239546
27,2883584,,,0.00121414,0.00121414
28,3145728,,,0.000568785,0.000568785
29,3407872,,,0.00029533,0.00029533
30,3670016,,,0.00012032,0.00012032
31,3932160,,,2.18763e-05,2.18763e-05
