,Memory usage,FPR Prefix-BF,FPR Prefix-BF+Doubting,FPR Prefix-QF,FPR Prefix-QF+Doubting
0,625002,0.0251374,0.00195983,,
1,750002,0.0123985,0.00104181,,
2,875002,0.00633336,0.000505431,,
3,1000002,0.00298101,0.000288818,,
4,1125002,0.00140283,6.18895e-05,,
5,1250002,0.000515746,3.09447e-05,,
6,1375002,0.000299133,2.06298e-05,,
7,1500002,0.000154724,1.03149e-05,,
8,1625002,5.15746e-05,1.03149e-05,,
9,1750002,2.06298e-05,0.0,,
10,1875002,3.09447e-05,0.0,,
11,2000002,0.0,0.0,,
12,2125002,0.0,0.0,,
13,2250002,0.0,0.0,,
14,2375002,0.0,0.0,,
15,2500002,0.0,0.0,,
16,2625002,0.0,0.0,,
17,2750002,0.0,0.0,,
18,2875002,0.0,0.0,,
19,3000002,0.0,0.0,,
20,3125002,0.0,0.0,,
21,1310720,,,0.0760828,0.00635399
22,1572864,,,0.0381961,0.00315636
23,1835008,,,0.0192889,0.0015885
24,2097152,,,0.00986106,0.000752989
25,2359296,,,0.00507494,0.000412597
26,2621440,,,0.00249621,0.000195983
27,2883584,,,0.0012481,6.18895e-05
28,3145728,,,0.00058795,4.12597e-05
29,3407872,,,0.000288818,3.09447e-05
30,3670016,,,0.000144409,1.03149e-05
31,3932160,,,7.22044e-05,1.03149e-05
