,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,92754,0.597124,0.597124,0.597124,,,
1,185419,0.350339,0.350339,0.350339,,,
2,278084,0.206022,0.206022,0.206022,,,
3,370751,0.120926,0.120926,0.120926,,,
4,463418,0.0718508,0.0718508,0.0718508,,,
5,556079,0.0438874,0.0438874,0.0438874,,,
6,648747,0.0256593,0.0256593,0.0256593,,,
7,741409,0.014983,0.014983,0.014983,,,
8,834077,0.0090477,0.0090477,0.0090477,,,
9,926744,0.00546481,0.00546481,0.00546481,,,
10,1019410,0.00313654,0.00313654,0.00313654,,,
11,1112070,0.00220764,0.00220764,0.00220764,,,
12,1204738,0.00120636,0.00120636,0.00120636,,,
13,1297404,0.000687625,0.000687625,0.000687625,,,
14,1390070,0.000410162,0.000410162,0.000410162,,,
15,1482734,0.000205081,0.000205081,0.000205081,,,
16,1575399,0.000229208,0.000229208,0.000229208,,,
17,1668064,0.0001327,0.0001327,0.0001327,,,
18,1760733,9.65088e-05,9.65088e-05,9.65088e-05,,,
19,1853395,4.82544e-05,4.82544e-05,4.82544e-05,,,
20,1946062,2.41272e-05,2.41272e-05,2.41272e-05,,,
21,2038727,4.82544e-05,4.82544e-05,4.82544e-05,,,
22,2131389,2.41272e-05,2.41272e-05,2.41272e-05,,,
23,2224052,1.20636e-05,1.20636e-05,1.20636e-05,,,
24,2316723,1.20636e-05,1.20636e-05,1.20636e-05,,,
25,524288,,,,0.269392,0.269392,0.269392
26,655360,,,,0.146404,0.146404,0.146404
27,786432,,,,0.0762781,0.0762781,0.0762781
28,917504,,,,0.0385191,0.0385191,0.0385191
29,1048576,,,,0.0194103,0.0194103,0.0194103
30,1179648,,,,0.00974739,0.00974739,0.00974739
31,1310720,,,,0.00527179,0.00527179,0.00527179
32,1441792,,,,0.00240066,0.00240066,0.00240066
33,1572864,,,,0.00129081,0.00129081,0.00129081
34,1703936,,,,0.000675562,0.000675562,0.000675562
35,1835008,,,,0.00030159,0.00030159,0.00030159
36,1966080,,,,0.0001327,0.0001327,0.0001327
