,Memory usage,Prefix-BF,Prefix-BF+Doubting d=3,Prefix-BF+Doubting d=6,Prefix-QF,Prefix-QF+Doubting d=3,Prefix-QF+Doubting d=6
0,92754,0.545319,0.0830875,0.0467942,,,
1,185419,0.298407,0.0077807,0.00396036,,,
2,278084,0.162115,0.00100009,0.000630057,,,
3,370751,0.0866478,0.000200018,0.000170015,,,
4,463418,0.0482943,3.00027e-05,3.00027e-05,,,
5,556079,0.0258223,4.00036e-05,4.00036e-05,,,
6,648747,0.0136612,0.0,0.0,,,
7,741409,0.00700063,2.00018e-05,2.00018e-05,,,
8,834077,0.00413037,1.00009e-05,1.00009e-05,,,
9,926744,0.0021902,0.0,0.0,,,
10,1019410,0.0011501,0.0,0.0,,,
11,1112070,0.000710064,0.0,0.0,,,
12,1204738,0.000420038,0.0,0.0,,,
13,1297404,0.000190017,0.0,0.0,,,
14,1390070,0.000130012,1.00009e-05,1.00009e-05,,,
15,1482734,7.00063e-05,0.0,0.0,,,
16,1575399,6.00054e-05,0.0,0.0,,,
17,1668064,4.00036e-05,0.0,0.0,,,
18,1760733,3.00027e-05,0.0,0.0,,,
19,1853395,1.00009e-05,0.0,0.0,,,
20,1946062,0.0,0.0,0.0,,,
21,2038727,0.0,0.0,0.0,,,
22,2131389,0.0,0.0,0.0,,,
23,2224052,0.0,0.0,0.0,,,
24,2316723,0.0,0.0,0.0,,,
25,524288,,,,0.268814,0.00655059,0.00371033
26,655360,,,,0.146173,0.000820074,0.000570051
27,786432,,,,0.0771569,0.000240022,0.000230021
28,917504,,,,0.0393835,9.00081e-05,9.00081e-05
29,1048576,,,,0.0195018,3.00027e-05,3.00027e-05
30,1179648,,,,0.00984089,0.0,0.0
31,1310720,,,,0.00510046,0.0,0.0
32,1441792,,,,0.00248022,0.0,0.0
33,1572864,,,,0.00120011,0.0,0.0
34,1703936,,,,0.000680061,0.0,0.0
35,1835008,,,,0.000350032,0.0,0.0
36,1966080,,,,0.000180016,0.0,0.0
